ID,Study,Age,Sex,SUIS_1,SUIS_2,SUIS_3,SUIS_4,SUIS_5,SUIS_6,SUIS_7,SUIS_8,SUIS_9,SUIS_10,SUIS_11,SUIS_12,PSIQ_1,PSIQ_2,PSIQ_3,PSIQ_4,PSIQ_5,PSIQ_6,PSIQ_7,PSIQ_8,PSIQ_9,PSIQ_10,PSIQ_11,PSIQ_12,PSIQ_13,PSIQ_14,PSIQ_15,PSIQ_16,PSIQ_17,PSIQ_18,PSIQ_19,PSIQ_20,PSIQ_21,PSIQ_22,PSIQ_23,PSIQ_24,PSIQ_25,PSIQ_26,PSIQ_27,PSIQ_28,PSIQ_29,PSIQ_30,PSIQ_31,PSIQ_32,PSIQ_33,PSIQ_34,PSIQ_35
1798570748,2,47,Female,2,1,1,2,2,2,1,1,2,2,1,1,6,6,7,5,6,5,5,6,7,5,7,6,6,6,5,5,6,6,6,6,7,7,7,5,5,5,6,6,5,5,6,6,5,4,5
1798546288,2,22,Male,3,3,5,3,5,1,5,5,5,5,5,5,7,6,6,5,6,4,6,5,6,4,3,5,6,6,6,5,6,6,6,5,6,6,5,6,6,5,4,3,5,4,6,5,6,2,5
1798544205,2,31,Male,2,3,5,1,4,1,1,2,2,3,4,2,7,6,6,4,6,7,6,7,7,5,4,3,6,5,7,3,6,5,7,4,7,6,6,5,5,6,5,6,5,5,5,4,4,6,4
1798544136,2,37,Female,1,1,5,1,2,1,5,5,1,3,3,1,5,6,7,1,6,2,7,5,6,6,5,7,6,7,7,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,4,4,2,7,4
1798540720,2,66,Female,3,5,5,5,5,1,5,4,5,5,4,5,5,6,6,6,5,6,6,6,7,4,7,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,7,5,5,6
1798518214,2,19,Female,4,5,5,5,4,1,4,5,4,3,1,5,7,6,6,6,5,5,6,7,7,4,3,6,4,7,4,5,7,7,7,6,4,4,6,4,5,7,7,3,6,4,7,3,3,7,5
1798508224,2,34,Female,2,4,5,4,4,1,5,3,3,4,2,4,4,5,5,5,5,4,5,5,4,5,3,2,4,5,3,2,3,3,4,3,3,4,4,5,3,4,3,5,5,5,5,5,4,5,3
1798499562,2,19,Female,4,5,5,5,4,3,5,5,4,4,1,5,6,5,4,7,4,5,5,6,7,6,3,5,6,6,4,1,7,7,6,6,5,6,6,5,6,7,7,7,5,6,7,7,7,7,7
1798492340,2,21,Female,4,5,4,5,5,3,2,2,2,5,4,4,6,7,7,7,7,6,7,7,7,7,7,5,7,7,7,1,6,6,7,7,7,7,7,6,6,6,6,5,6,7,7,7,7,6,6
1798487684,2,30,Male,2,2,4,3,4,1,2,2,2,3,4,3,6,6,5,5,5,3,2,3,2,4,3,4,4,4,5,3,4,4,4,3,3,3,3,5,4,4,4,3,5,4,3,3,3,3,3
1798122529,2,22,Male,1,3,4,4,5,3,5,5,4,5,5,4,6,6,6,6,4,7,6,6,5,4,4,4,5,5,4,6,7,7,3,7,5,6,6,6,5,7,6,6,6,6,7,7,7,3,5
1797859030,2,21,Male,1,1,1,1,2,1,1,5,1,1,4,5,6,5,6,6,6,5,6,6,6,5,4,5,4,6,5,7,5,4,5,6,5,1,6,5,6,6,5,4,5,6,5,6,7,5,6
1797727370,2,18,Female,2,1,4,5,5,1,1,3,3,3,3,4,6,5,6,6,5,3,5,6,6,6,1,3,5,6,3,1,3,3,3,1,3,5,5,1,3,5,6,5,3,3,3,5,3,3,3
1797712698,2,19,Male,2,1,1,3,1,1,1,1,1,1,2,1,7,6,7,7,7,6,7,6,6,6,5,2,5,6,7,2,4,4,4,4,4,4,4,5,5,6,6,4,5,5,6,6,6,7,7
1797435540,2,19,Female,3,3,3,3,3,3,3,3,3,3,3,3,6,5,5,6,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
1797397104,2,19,Male,4,1,4,4,4,1,5,2,2,4,4,4,6,6,6,6,6,6,6,6,6,6,5,6,5,6,5,5,6,5,6,5,5,5,6,6,6,6,5,5,6,5,7,7,6,7,6
1796679382,2,19,Female,5,1,3,4,5,4,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1796253875,2,19,Female,2,2,5,3,5,2,3,4,3,5,1,4,6,6,7,6,5,7,6,6,6,5,4,3,5,4,3,3,5,4,5,3,6,6,7,6,5,7,5,4,5,5,6,6,7,5,5
1795844995,2,21,Female,3,1,1,5,1,1,1,1,5,1,5,1,3,4,7,5,7,3,5,3,5,6,1,1,5,5,6,1,7,5,5,3,7,7,7,5,5,5,7,7,6,7,2,2,2,2,2
1795813989,2,19,Female,2,3,5,4,4,1,3,5,4,4,5,5,5,1,4,5,4,4,4,4,4,1,5,4,3,3,3,3,5,5,4,3,4,3,2,3,5,5,1,1,4,5,6,7,6,7,6
1795738563,2,23,Male,5,1,1,5,1,2,1,1,1,1,3,5,2,4,5,2,5,3,4,4,3,5,5,1,5,3,4,5,2,6,6,7,4,5,4,5,5,4,2,5,5,6,5,3,6,7,5
1795216446,2,65,Female,1,1,4,5,5,3,1,4,5,4,3,5,6,6,6,7,6,7,7,6,6,6,6,7,7,6,7,6,6,7,7,6,7,7,7,6,7,6,6,6,6,7,6,5,6,6,4
1795057226,2,19,Male,3,4,2,4,5,1,4,2,3,4,4,4,7,6,6,6,6,7,7,7,7,7,6,6,6,6,6,1,5,5,4,6,7,7,5,6,5,6,5,6,5,4,5,6,6,6,5
1794523960,2,19,Female,5,5,3,5,3,3,5,3,3,3,3,3,5,6,7,7,7,7,6,6,5,6,7,7,7,7,6,7,7,7,7,7,6,7,5,7,7,7,6,6,7,6,7,7,7,7,4
1794513332,2,39,Male,3,4,5,3,4,2,1,1,1,4,1,5,7,6,7,6,5,7,7,6,7,6,5,5,6,6,6,5,6,6,5,6,7,7,6,7,7,7,7,6,6,6,7,7,7,7,7
1794426572,2,22,Female,2,4,5,5,4,3,5,4,4,3,5,4,7,6,5,7,7,5,6,4,5,4,3,3,4,3,3,2,4,3,1,1,2,3,2,3,5,6,4,1,2,3,4,4,5,4,4
1794333255,2,21,Female,3,2,3,1,1,5,2,1,1,2,4,2,7,5,6,6,4,3,3,5,4,6,5,6,4,5,6,1,4,5,3,6,7,6,4,5,3,6,7,6,5,6,6,5,4,1,2
1794217752,2,21,Female,4,1,5,1,5,1,3,5,5,5,5,5,7,6,7,7,7,6,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,5,6
1794169376,2,49,Female,2,2,4,3,4,2,2,2,2,2,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6
1793902555,2,23,Male,2,3,1,2,2,3,2,1,2,3,2,1,7,5,7,4,5,5,3,4,4,2,2,1,4,5,6,4,7,6,5,4,6,5,4,4,5,4,4,2,5,3,6,6,5,7,4
1793672143,2,36,Female,3,2,4,2,4,1,5,2,4,4,4,4,5,5,6,6,5,4,5,6,5,5,2,3,3,3,2,3,4,4,2,2,4,5,6,2,2,5,5,5,5,5,6,6,3,4,6
1793576081,2,17,Female,2,1,4,4,5,1,1,3,2,4,5,5,7,7,6,7,6,5,5,4,2,3,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,3,5,7,7,7,6,6
1793474078,2,27,Male,4,5,5,3,4,1,2,5,2,3,5,3,7,7,7,7,7,7,7,7,7,7,5,6,7,7,7,5,7,7,7,7,5,6,7,5,6,7,7,4,6,6,6,4,6,7,5
1793469210,2,24,Male,4,5,5,5,5,1,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1793455207,2,19,Female,4,4,3,5,4,1,2,4,2,4,4,4,6,6,5,4,6,3,5,3,2,3,6,5,5,4,6,2,7,7,6,6,2,5,4,6,6,5,6,6,5,7,5,5,6,3,5
1793425703,2,19,Female,5,1,2,5,5,1,2,5,5,5,5,5,7,7,7,7,7,7,7,7,7,6,6,5,6,6,5,4,6,6,6,6,5,4,5,6,6,6,6,4,5,6,7,7,7,7,6
1793139757,2,21,Female,4,4,5,4,4,1,2,4,2,4,5,5,6,4,5,7,5,4,7,6,4,5,7,6,3,3,5,2,6,6,5,6,7,7,7,6,6,6,4,7,5,6,6,3,6,3,6
1792989533,2,19,Female,2,4,4,5,4,1,5,5,4,4,5,4,6,6,7,5,6,5,6,7,6,6,5,4,5,6,6,3,5,6,6,3,6,7,7,6,5,6,7,4,5,5,6,5,4,6,5
1792832567,2,19,Female,5,3,1,5,4,4,5,4,4,4,1,1,6,5,5,5,5,6,7,6,6,6,3,5,5,4,4,4,6,6,6,4,5,6,6,6,6,7,5,5,6,5,7,7,7,6,5
1792745007,2,21,Female,2,5,5,5,5,5,5,5,4,3,5,5,6,5,7,7,6,4,5,4,5,4,6,5,6,6,6,2,7,7,7,7,7,6,7,6,6,6,5,6,5,6,7,7,6,5,5
1792715456,2,19,Male,4,3,5,4,5,2,4,3,4,4,5,4,7,6,5,7,4,3,5,4,5,5,6,5,6,7,5,1,4,5,5,4,3,3,4,5,4,5,5,2,4,4,5,5,4,6,3
1792700686,2,23,Male,4,5,1,4,3,1,2,3,4,2,5,5,6,7,5,6,6,5,6,5,6,6,7,5,7,7,7,7,6,5,5,6,7,6,7,4,5,6,7,4,6,5,5,4,6,7,4
1792683135,2,22,Male,2,1,3,5,3,1,5,1,2,3,2,3,6,5,6,7,6,6,7,6,6,4,5,1,4,5,4,1,7,5,5,4,6,6,6,5,5,6,5,5,6,7,7,5,6,6,6
1792644417,2,21,Female,4,2,4,4,4,3,5,3,3,3,3,4,6,5,5,6,5,5,6,4,5,5,5,5,6,6,6,3,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,5,6,6,6
1792637252,2,21,Female,4,4,4,4,4,2,4,2,2,4,4,4,7,5,6,7,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5
1792624816,2,20,Female,3,4,4,5,4,3,2,1,2,4,2,2,7,7,7,7,7,6,6,7,6,6,7,7,7,7,7,6,6,5,7,7,7,6,6,7,7,7,7,7,6,6,7,6,6,6,6
1792620076,2,21,Female,5,1,3,5,5,3,3,5,5,5,3,3,7,7,5,7,4,6,6,7,6,5,4,4,5,4,4,3,7,5,3,3,3,7,7,6,7,7,6,5,3,5,7,7,7,4,6
1792619175,2,21,Female,2,3,3,4,4,3,1,3,4,4,4,3,7,7,7,7,7,6,5,5,6,6,6,4,6,6,4,6,6,4,4,3,3,5,6,6,6,7,5,5,6,6,7,7,7,7,7
1792600612,2,24,Male,4,2,3,4,2,2,1,2,2,4,3,3,6,6,5,6,5,4,5,6,5,5,4,4,4,5,5,3,4,3,4,5,5,4,5,5,6,6,5,4,5,5,4,5,4,6,6
1792598977,2,20,Female,3,4,4,5,4,2,3,2,2,2,2,3,6,5,6,7,6,6,6,5,6,6,5,4,5,6,5,3,5,5,6,5,6,6,5,6,6,5,6,4,6,6,6,6,5,6,5
1792597958,2,20,Male,5,5,1,5,5,1,5,1,5,5,5,5,7,6,5,7,4,5,6,7,7,7,6,5,5,5,3,5,5,4,5,5,7,7,7,7,7,7,7,5,5,7,6,5,6,7,6
1792594810,2,21,Female,5,2,4,4,3,2,5,4,3,4,2,2,6,5,6,6,5,4,5,5,4,5,4,4,4,3,3,3,3,3,4,3,6,5,6,6,6,6,5,6,6,6,5,5,4,6,6
1792583500,2,21,Female,5,3,4,5,5,3,2,2,4,4,2,2,7,6,5,7,7,5,4,5,4,4,4,5,6,6,4,4,6,4,6,6,4,5,6,6,4,4,5,3,3,6,4,5,6,6,6
1792563406,2,21,Female,5,4,4,3,5,2,5,5,5,4,5,3,6,6,6,7,6,6,6,7,6,7,6,6,6,7,6,5,7,7,7,6,7,6,7,6,6,6,5,5,6,6,6,6,6,6,6
1792531840,2,40,Female,2,2,4,3,3,2,5,4,4,4,3,3,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1792525588,2,20,Male,3,2,4,1,3,2,2,5,1,2,3,4,7,5,6,6,6,7,7,6,6,5,5,3,5,5,5,1,6,5,4,2,4,5,5,5,4,4,5,3,5,5,5,6,4,6,5
1792487856,2,20,Male,2,4,3,3,5,3,5,2,1,3,2,4,7,7,7,7,7,6,6,7,7,5,3,6,3,5,4,1,6,5,4,5,6,7,6,6,5,7,6,3,5,3,7,6,7,7,7
1792487626,2,20,Female,3,2,4,5,3,4,2,4,3,3,4,4,6,5,5,5,6,7,6,7,7,7,2,2,3,3,3,2,3,3,4,4,5,6,6,5,6,4,6,4,6,6,6,6,6,6,6
1792368726,2,21,Male,3,4,5,3,2,2,1,3,1,2,1,4,4,7,5,3,5,3,7,7,5,2,3,3,1,2,4,3,5,7,6,2,7,7,2,5,7,6,4,5,6,6,5,6,4,5,5
1792368100,2,25,Male,4,3,5,5,4,1,5,4,3,4,4,3,6,7,6,6,1,5,5,6,6,5,3,5,4,6,5,6,6,5,5,6,5,6,4,5,6,7,6,4,5,7,7,7,7,4,5
1792149998,2,21,Male,3,2,5,2,4,4,1,4,1,3,4,2,7,4,6,7,5,4,5,3,6,6,2,5,6,5,6,7,7,7,6,7,6,7,5,4,6,5,6,3,4,6,4,7,6,5,6
1792119005,2,21,Female,3,4,4,4,5,3,3,4,5,4,4,4,6,5,6,6,5,5,5,5,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,6,7,6,7
1792065066,2,20,Male,4,3,5,4,2,1,2,1,4,2,1,4,5,6,6,7,6,5,6,5,6,5,3,1,2,3,5,3,5,6,6,6,6,6,7,5,6,4,6,5,6,6,4,5,3,7,4
1792059832,2,21,Female,5,3,5,4,1,1,4,4,5,3,2,3,4,6,7,6,7,5,6,4,5,3,5,2,3,5,4,1,3,2,1,1,3,5,3,6,5,3,7,6,6,7,3,2,4,5,5
1791994394,2,19,Male,4,5,1,4,4,2,1,2,3,3,4,2,7,5,6,6,5,6,6,3,5,5,5,6,5,6,5,2,4,4,5,5,7,6,6,6,6,5,6,6,4,5,7,6,1,5,5
1791967570,2,22,Female,4,3,4,4,4,3,3,4,4,4,4,4,6,5,5,6,5,6,6,6,6,6,5,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6
1791951546,2,22,Female,2,4,5,4,4,3,4,5,4,4,4,4,5,6,6,6,5,4,5,6,4,4,4,4,4,5,5,4,6,5,5,6,6,6,6,5,5,6,6,5,6,5,5,5,5,7,5
1791900043,2,20,Female,3,4,4,5,4,2,4,4,4,4,5,4,6,6,6,4,5,5,4,4,5,6,6,4,4,4,4,4,3,3,3,4,5,5,6,2,3,3,3,3,4,3,5,6,6,6,6
1791899588,2,19,Male,3,5,3,5,3,1,5,1,2,5,5,5,6,5,5,7,6,4,5,5,5,5,3,3,4,3,3,3,5,3,3,3,1,1,1,5,5,6,5,3,4,4,6,6,6,7,5
1791895147,2,2,Male,5,3,2,4,2,2,3,2,2,2,2,3,6,7,5,5,6,7,7,7,7,6,5,4,5,4,5,2,7,7,5,4,6,6,6,4,6,6,6,5,6,6,7,7,7,7,7
1791882506,2,20,Female,1,3,5,5,3,1,5,5,5,4,4,3,7,6,6,6,6,5,7,6,7,6,5,4,4,4,3,5,7,6,6,6,6,6,5,6,6,6,6,6,4,5,7,7,7,7,7
1791857629,2,19,Male,5,5,1,5,2,5,1,1,1,5,3,3,5,5,6,7,6,4,7,7,7,5,2,1,3,6,3,6,6,6,6,6,6,6,6,5,5,5,6,4,5,5,6,6,6,1,6
