RespondentID,Study,Age,Sex,EBRIQ01,EBRIQ02,EBRIQ03,EBRIQ04,EBRIQ05,EBRIQ06,EBRIQ07,SUIS01,SUIS02,SUIS03,SUIS04,SUIS05,SUIS06,SUIS07,SUIS08,SUIS09,SUIS10,SUIS11,SUIS12,PSIQ01,PSIQ02,PSIQ03,PSIQ04,PSIQ05,PSIQ06,PSIQ07,PSIQ08,PSIQ09,PSIQ10,PSIQ11,PSIQ12,PSIQ13,PSIQ14,PSIQ15,PSIQ16,PSIQ17,PSIQ18,PSIQ19,PSIQ20,PSIQ21,PSIQ22,PSIQ23,PSIQ24,PSIQ25,PSIQ26,PSIQ27,PSIQ28,PSIQ29,PSIQ30,PSIQ31,PSIQ32,PSIQ33,PSIQ34,PSIQ35
1297428562,1,20.9,Female,3,4,4,5,5,4,5,4,2,4,4,4,2,5,5,4,5,4,5,11,8,8,11,10,11,11,11,11,9,10,2,1,10,10,10,10,1,11,10,2,1,5,9,11,10,11,2,8,11,11,11,9,11,11
1288936319,1,20.1,Female,1,1,1,1,1,1,1,5,5,5,3,4,1,5,2,5,4,5,1,10,2,2,10,2,2,2,2,9,5,1,1,1,6,8,1,7,7,4,1,10,10,9,7,8,8,7,8,4,8,9,8,10,11,11
1309800168,1,38.4,Female,2,2,2,2,2,2,2,5,5,5,5,5,1,1,5,4,5,5,5,11,9,11,11,9,11,11,3,3,11,7,11,7,11,11,1,11,1,11,7,9,6,6,6,6,6,6,1,1,6,5,5,7,3,1
1288811102,1,19.5,Female,2,3,4,3,2,2,3,4,4,3,4,4,3,3,5,4,4,5,5,11,10,9,10,8,4,7,3,4,2,7,9,1,11,1,2,8,3,11,1,9,7,9,6,11,5,3,4,2,11,2,1,7,4,1
1309106676,1,28.6,Male,2,3,2,3,3,2,3,5,5,5,2,1,5,5,2,5,2,5,5,11,11,11,7,11,9,4,9,6,3,1,2,11,9,9,9,9,9,3,9,4,8,11,9,11,11,11,2,3,11,10,10,2,1,3
1299001669,1,20.9,Female,2,3,3,3,4,2,2,5,3,3,5,3,3,4,4,5,1,5,2,10,10,11,10,11,11,11,11,2,2,11,7,5,1,9,4,11,11,11,8,7,8,11,11,10,11,8,11,1,11,1,3,4,8,11
1312766598,1,30.7,Female,4,3,4,3,3,3,3,4,1,4,2,5,5,1,5,1,4,4,5,9,3,6,8,7,1,1,1,1,1,1,1,9,8,10,4,2,10,10,9,9,10,10,10,9,10,10,10,10,9,10,8,7,10,9
1285091319,1,19.5,Female,1,2,3,2,2,1,3,4,3,3,5,2,2,1,1,3,3,5,4,11,10,8,11,9,11,11,11,11,11,6,4,2,3,5,1,7,8,6,5,10,9,11,10,11,3,2,5,2,8,9,5,11,1,1
1286186287,1,21.7,Female,2,4,5,5,3,4,4,2,3,5,4,2,1,5,5,1,4,5,3,11,11,9,8,11,11,3,6,9,6,9,1,7,1,2,11,11,5,11,8,3,11,1,10,1,11,8,7,11,11,6,11,8,10,1
1302527721,1,31.8,Female,1,2,3,4,4,2,2,4,2,5,5,4,1,3,1,4,1,1,2,11,1,4,11,7,8,11,11,4,11,1,1,3,4,3,1,5,8,1,8,11,11,11,1,11,5,11,11,5,4,5,6,7,6,8
1285417502,1,40.8,Female,5,5,4,4,5,5,5,2,5,5,5,5,2,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,4,2,5,8,2,1,7,1,3,2,1,4,10,6,8,10,10,3,9,10,9,10,8,2,11
1284523720,1,27.3,Female,3,4,2,4,5,3,4,4,1,3,5,2,3,1,2,3,3,2,4,10,8,11,8,11,11,10,7,9,10,1,1,6,1,4,1,6,7,10,4,11,11,11,11,11,8,5,4,7,10,2,1,1,1,9
1314059612,1,55.4,Female,1,1,1,2,1,1,1,2,1,1,4,5,1,4,2,3,2,1,2,11,11,11,11,11,7,1,9,4,10,2,11,2,9,10,7,9,9,8,8,9,10,8,10,10,11,3,11,9,11,1,1,1,1,1
1296245157,1,39.4,Female,2,4,5,3,3,3,3,5,3,5,3,5,1,1,3,1,5,5,3,9,10,7,10,3,9,1,6,3,4,1,6,6,1,1,1,8,8,1,1,1,1,1,3,7,9,10,1,1,9,11,11,10,11,9
1312571798,1,50.8,Female,1,1,3,3,3,3,3,3,3,5,5,5,1,5,1,5,5,5,5,11,4,9,8,7,9,10,7,9,7,6,5,11,11,11,1,11,9,11,2,11,11,11,11,11,1,1,1,4,3,11,2,2,1,10
1285693755,1,18.7,Female,2,2,1,4,2,2,5,4,1,4,5,4,5,5,5,5,5,3,3,8,7,11,11,11,8,1,1,3,1,1,1,8,8,4,2,7,2,7,2,1,1,1,1,1,9,9,4,9,9,11,11,1,11,11
